ticket_id,ticket_type,created_at,updated_at,first_response_at,in_progress_at,resolved_at,closed_at,priority,impact,urgency,category_id,subcategory_id,assigned_team_id,assigned_agent_id,customer_id,business_unit,region,channel,status,sla_target_hours,first_response_minutes,resolution_minutes,reopened_count,escalation_count,satisfaction_score,short_description,source_system,generated_batch_id
ticket-000015,incident,2024-02-24T02:37:00Z,2024-02-28T07:47:00Z,2024-02-24T10:50:00Z,2024-02-25T16:48:00Z,2024-02-26T22:47:00Z,2024-02-28T07:47:00Z,P3,low,medium,cat-network,sub-wifi,team-app,agent-003,customer-fin,Finance,DE,email,closed,24,493,4090,1,0,2,Wi-Fi connectivity reported by Finance,service-ops-synthetic,batch-42-2024-01-01-2024-03-31-25
ticket-000016,service_request,2024-02-24T07:45:00Z,2024-02-25T20:50:00Z,2024-02-24T13:11:00Z,2024-02-25T05:00:00Z,2024-02-25T20:50:00Z,,P3,low,medium,cat-hardware,sub-laptop,team-app,agent-002,customer-sales,Sales,EU,portal,resolved,24,326,2225,0,0,3,Laptop issue reported by Sales,service-ops-synthetic,batch-42-2024-01-01-2024-03-31-25
ticket-000017,service_request,2024-02-14T21:56:00Z,2024-02-17T06:54:00Z,2024-02-14T23:11:00Z,2024-02-15T09:32:00Z,2024-02-15T19:54:00Z,2024-02-17T06:54:00Z,P3,high,medium,cat-access,sub-password,team-network,agent-006,customer-sales,Sales,EU,portal,closed,24,75,1318,0,0,5,Password reset reported by Sales,service-ops-synthetic,batch-42-2024-01-01-2024-03-31-25
ticket-000018,incident,2024-02-18T15:09:00Z,2024-02-27T11:24:00Z,2024-02-19T09:49:00Z,2024-02-22T12:36:00Z,2024-02-25T15:24:00Z,2024-02-27T11:24:00Z,P4,medium,low,cat-network,sub-wifi,team-network,agent-005,customer-fin,Finance,DE,portal,closed,72,1120,10095,0,0,3,Wi-Fi connectivity reported by Finance,service-ops-synthetic,batch-42-2024-01-01-2024-03-31-25
ticket-000019,service_request,2024-02-28T14:16:00Z,2024-02-29T02:43:00Z,2024-02-28T15:43:00Z,2024-02-28T20:43:00Z,2024-02-29T01:43:00Z,2024-02-29T02:43:00Z,P2,high,high,cat-application,sub-collaboration,team-app,agent-001,customer-sales,Sales,EU,portal,closed,8,87,687,0,0,5,Collaboration tools reported by Sales,service-ops-synthetic,batch-42-2024-01-01-2024-03-31-25
ticket-000020,service_request,2024-01-05T19:50:00Z,2024-01-11T20:56:00Z,2024-01-05T22:38:00Z,2024-01-08T18:17:00Z,2024-01-11T13:56:00Z,2024-01-11T20:56:00Z,P4,medium,low,cat-hardware,sub-printer,team-network,agent-004,customer-sales,Sales,EU,email,closed,72,168,8286,0,0,4,Printer issue reported by Sales,service-ops-synthetic,batch-42-2024-01-01-2024-03-31-25
ticket-000021,incident,2024-03-19T15:21:00Z,2024-03-30T16:39:00Z,2024-03-20T19:32:00Z,2024-03-25T18:05:00Z,2024-03-30T16:39:00Z,,P4,low,low,cat-hardware,sub-laptop,team-network,agent-005,customer-fin,Finance,DE,chat,resolved,72,1691,15918,0,0,4,Laptop issue reported by Finance,service-ops-synthetic,batch-42-2024-01-01-2024-03-31-25
ticket-000022,incident,2024-03-07T14:25:00Z,2024-03-08T17:28:00Z,2024-03-07T20:06:00Z,2024-03-08T06:47:00Z,2024-03-08T17:28:00Z,,P3,high,medium,cat-application,sub-collaboration,team-workplace,agent-007,customer-ops,Operations,DE,phone,resolved,24,341,1623,0,0,5,Collaboration tools reported by Operations,service-ops-synthetic,batch-42-2024-01-01-2024-03-31-25
ticket-000023,service_request,2024-03-15T04:27:00Z,2024-03-18T21:54:00Z,2024-03-16T04:07:00Z,2024-03-17T13:00:00Z,2024-03-18T21:54:00Z,,P4,low,low,cat-access,sub-vpn,team-network,agent-006,customer-sales,Sales,EU,phone,resolved,72,1420,5367,0,0,4,VPN access reported by Sales,service-ops-synthetic,batch-42-2024-01-01-2024-03-31-25
ticket-000024,incident,2024-03-26T21:58:00Z,2024-03-28T07:38:00Z,2024-03-27T00:52:00Z,2024-03-27T06:15:00Z,2024-03-27T11:38:00Z,2024-03-28T07:38:00Z,P2,medium,high,cat-application,sub-erp,team-network,agent-005,customer-rnd,R&D,EU,email,closed,8,174,820,0,0,3,ERP support reported by Research and Development,service-ops-synthetic,batch-42-2024-01-01-2024-03-31-25
ticket-000025,incident,2024-02-01T08:27:00Z,2024-02-04T20:19:00Z,2024-02-01T21:56:00Z,2024-02-02T18:37:00Z,2024-02-03T15:19:00Z,2024-02-04T20:19:00Z,P3,high,medium,cat-application,sub-erp,team-workplace,agent-008,customer-fin,Finance,DE,email,closed,24,809,3292,0,0,4,ERP support reported by Finance,service-ops-synthetic,batch-42-2024-01-01-2024-03-31-25
